has_opinion	sentence
1	"Comida perfeita, atendimento do garçom Wemerson nota 10, música agradável, ambiente agradável"
1	"Bebida sempre gelada , pessoas bonitas  e simpáticas , lugar perfeito para fazer amizades e passar a noite toda bebendo e comendo!"
1	"Atendimento top, Wemerson garçom com um atendimento impecável, chopp gelado e comida de primeira."
1	"Muito bom!!!"
1	"A comida do restaurante é maravilhosa, com boa variedade de pratos e vinhos, o ambiente também é fenomenal."
1	"Porém o atendimento deixa muito a desejar, a entrada demorou muito mais que o prato principal, acredito que esqueceram de encaminhar o pedido, a coca-cola que pedimos não veio, tivemos que pedir a outro garçom."
1	"E os preços são um pouco caro, nada exorbitante, mas R$ 16,50 numa entrada simples de apenas 06 torradas de brusqueta e R$ 51,00 num prato de macarrão simples com molho vermelho é um pouco defasado da realidade."
1	"comida muito boa e de alto nível, lugar super agradável e atendimento de primeira."
0	"parabéns aos proprietários ."
1	"Comidas típicas do Nordeste, decoração rústica é bem aconchegante com atendimento ótimo e estacionamento privativo."
1	"Lugar pequeno e no ápice do sucesso, então é normal que tenha fila."
1	"Achei a gestão da fila atenciosa e amigável."
1	"O lugar é descontraído e a proposta particular e bem cuidada nos detalhes."
1	"O valor é médio alto e o serviço ágil."
0	"Um lugar que está na moda."
0	"Mas nada de "best 50"......"
0	"Cheguei no local na noite do dia 25/04/2019."
0	"O restaurante possui uma loja de vinhos, onde pude encontrar opções bastante em conta e outras um pouco mais caras."
0	"Tem vinhos para todos os gostos mas, para ser sincero, achei fraca da disponibilidade dos vinhos do Porto, meu vinho favorito."
0	"Muito poucas (e caras) opções."
1	"Os garçons são muito educados e atenciosos."
1	"O ambiente é interessante."
1	"Ambiente familiar."
1	"Os pratos são extraordinários, atendimento cortês e a Carla Pernambuco passa de mesa em mesa cumprimentando os clientes."
0	"Superou nossa expectativa."
1	"Uma opção excelente, os hambúrgueres são muito gostosos, a maionese artesanal é espetacular, as batatas bem crocantes, o atendimento é sempre bom."
1	"O melhor fondue que já comi!!!!"
1	"Tudo com muita qualidade e atendimento ideal."
1	"Única coisa chata é a espera."
0	"Cheguei às 20h e entrei somente as 22h."
0	"Mas ainda assim vale muito a pena."
0	"A hamburgueria oferece um conceito inovador, seja em seu cardápio ou em sua decoração."
0	"Trata-se da tradicional localização do famoso Rio’s ."
0	"A proposta é seguir o modelo do antigo Porcão, inclusive sem grandes modificações na estrutura."
1	"Mantiveram tudo igual: buffet de saladas incrivel e as carnes chegando a mesa no estilo rodízio."
0	"Quanto as carnes tudo dentro do esperado sem grandes novidades."
0	"Ficam devendo as costelas bovinas e as linguiças ."
1	"Preços bem salgados por sinal."
0	"Vou demorar para voltar!"
0	"fomos pra um café da manhã no dia dos pais, estava bem cheio mas havia mesa disponível."
1	"Local linda, com mesas ao ar livre e super arborizado, tem um cantinho pra crianças com alguns brinquedos e lápis pra desenhar."
1	"Comida boa mas sem muita variedade, devem melhorar no atendimento pq demora um pouco."
0	"Pedimos um cardápio pronto de café da manhã pra dividirmos, não troxeram pratos suficientes e, ao solicitarmos demoraram pra trazer, tivemos que pedir pra outra pessoa que prontamente nos atendeu."
1	"Vale a visita em um dia ensolarado, local muito aconchegante."
1	"Comida maravilhosa, preco justo...."
1	"Bar do Adão é tradicional dos cariocas!"
0	"Destaque para o pastel de camarão e a cervejinha na calçada!"
0	"Maravilhoso!"
1	"Fomos comemorar meu aniversário no Coco Bambu e tivemos um excelente atendimento - garçom Carlos , além da comida que estava deliciosa e bebidas perfeitas."
1	"Comida boa e com um diferencial no sabor."
1	"Lanches de qualidade e com inovação, bom para um final de tarde entre amigos"
1	"Outback é uma otima opção para comer e beber com qualidade, fica situado no shopping Center Norte com facil acesso, muito bom para almoço em familia, amigos e ate mesmo um almoço de negócio informal, recomendo como pedido a costelinha de porco, simplesmente perfeito."
1	"Sem duvida o menezes Grill é o melhor espetinho de carne que existe no bairro da Cidade Velha é bem servidor e delicioso."
0	"Posso ter tido azar, mas não gostei desse restaurante."
1	"A decoração é muito bonita, mas os pratos deixaram a desejar."
1	"Achei muito caro por aquilo que serve."
1	"Primeira vez que fui ao Mamma Jamma e tive uma boa experiência."
1	"Preço é justo: Pedi de entrada um pão com calabresa, com queijo gratinado (muito bom, por sinal) e uma pizza grande para dividir por 2 pessoas + bebidas, e deu um pouco menos de 60 reais para cada."
1	"Atendimento e comida excelente como sempre!"
1	"Restaurante dentro do Copacabana Palace....atendimento impecável, comida muito boa  e ambiente bom..."
1	"Restaurante nota 10, da recepção no estacionamento, atendimento, menu, visual, conforto e comida deliciosa."
1	"O preço compatível com a qualidade, menos de R$ 100 por pessoa com entrada, bebidas, pratos e sobremesa."
1	"Amplo estacionamento, serviço de primeira, uma das melhores opções de João Pessoa."
0	"O lugar que da vontade de voltar e levar os amigos."
0	"Estive com grupo de amigos, éramos em 10."
0	"Fomos bem atendidos."
1	"Ó restaurante não é muito grande, mas o serviço é muito bom e os pratos fartos."
0	"Dependendo da fome pode pedir um prato e dividir."
0	"Sobremesa peça o peti gatô deles."
0	"Bem gostoso."
0	"Estive no Skinna para comemorar o meu aniversário de casamento e fui realmemte surpreendido pela qualidade e principalmente pelo atendimento."
1	"Pedi de entrada casquinhas de siri e iscas de lagosta crocante, tudo muito fresco."
1	"De prato principal delícias do mar com cherne e lagosta e a qualidade se manteve e para finalizar carpaccio de banana, muito bom."
1	"O atendimento foi excelente e cada garçom que nos atendeu nos deram todas as informações e sugestões para que tivéssemos uma noite agradabilíssima."
0	"Eu recomendo sem medo."
1	"O lugar é bonito e divertido,  feito para turistas, já que só funciona às segundas."
0	"Há apresentação de quadrilha e banda tocando diversos ritmos, com foco no forró."
0	"A entrada é 50 reais por pessoa,  sem consumação."
0	"Além disso deve-se deixar separados 10 reais para os flanelinhas."
0	"No dia 20 de outubro, após indicações de amigos, fomos conhecer o tão bem recomendado hambúrguer desse estabelecimento."
1	"Chegando lá, encontramos um local muito pequeno e lotado, porém fomos informados que poderíamos comprar no delivery, do outro lado da rua, enquanto aguardávamos a mesa."
0	"Na compra no delivery já houve o primeiro fato “truculento”, cobrança facultativa de 10% para a “equipe de cozinha”."
0	"Após pegarmos nosso lanche, a segunda “surpresa”: não havia embalagem para o pudim, sendo entregue em uma lata, semelhante a uma lata de extrato de tomate e sem colher."
1	"O lamen é barato (um missô lamen e chashu tonkotsu lamen ficaram R$20 cada)."
1	"O atendimento foi bom, ao contrário do que as pessoas normalmente dizem."
0	"Ao invés de expulsar as pessoas apenas prezam pela limpeza do local, inclusive, ao final da refeição, nos foi oferecido mais uma porção de gyoza."
0	"O tempo de espera foi por volta de 1h e 30 min, mas pelo valor vale a pena esperar."
1	"Fomos conhecer a Cervejaria Amazon Beer no final da tarde e pedi bolinhos de queijo com carne seca e são maravilhosos."
0	"Tem um cardápio regional e há vários pratos que servem bem para duas pessoas."
0	"O preço é para turistas."
0	"tem uma bela vista panorâmica."
1	"Comida muito boa, ambiente muito descontraído, ótimo para confraternizar com amigos."
1	"Atendimento muito rápido.O único defeito é que quase sempre tem que enfrentar  uma fila de espera para entrar."
1	"Adorei a comida, porém o fato de o local ser muito grande achei um pouco desconfortável e o atendimento demorado."
1	"Apesar disso, como sempre, a comida estava ótima e sempre de ótima qualidade para agradar seus clientes"
0	"Eu, namorada fomos comemorar aniversário de uma colega."
1	"Foi bacana, opções de bebidas e comida boas, bom atendimento, ambiente agradável."
0	"Apesar de manter a mesma qualidade que os demais restaurantes da rede Elias, o da São Clemente fecha às 16:00 e não tem as cervejas artesanais da rede."
1	"Mas a comida... como sempre, maravilhosa!!!"
1	"Rodízio muito bom!"
1	"O atendimento é rápido e eficiente!"
1	"Shimeji quentinho e os sushis e sashimis frescos!"
0	"Vale a pena!!!"
1	"Ambiente agradavel,pratos bem servidos e sobremesas variadas.Espaço para crianças brincarem."
1	"Estacionamento amplo com manobrista pago."
1	"atendimento mto bom."
1	"comida mto bem preparada."
1	"mas deve se dizer que por ser feita para atender o grande publico, o ambiente se torna menos confortável, pois o barulho eh mto grande."
0	"No demais, vale a pena conhecer"
1	"O restaurante possui diversas opções de pratos, todas de qualidade excelente, sendo esse o seu ponto."
0	"Quase sem palavras para descrever."
1	"Ótimo atendimento do garçom Roberval Viana e uma comida excelente tbm!!!"
1	"Lugar agradável embora quando cheio alguns lugares ficam inviáveis por colocarem as mesas muito próximas, tem-se a impressão de invasão  de privacidade."
1	"Buffet de frios variados e bons."
1	"Pizza massa fina, bem servida de ingredientes ."
1	"Atendimento eficiente, local com ar condicionado."
1	"Padaria localizada ao lado do Hotel Ibis Budget da Frei Caneca que faz boa comida por preço justo."
1	"Os salgados são muito bons, especialmente os croissants."
1	"boa opção no centro da cidade.boa oferta de comida,preco e atendimento,limpeza tambem boa,recomendo."
0	"Eu e m eu filho comemos um Xfile e ficamos uma semana com infecção intestinal."
0	"No calçadão da Rua da Quitanda, bem próximo à Praça do Patriarca."
0	"Funciona no almoço com buffet com várias opções de pratos frios, quentes, sobremesas e sucos incluídos."
1	"Tudo com qualidade."
0	"É bar mas com opções de pratos para refeições e não somente petiscos."
0	"Cozinha brasileira."
0	"Pratos para compartilhar."
1	"Bom atendimento."
0	"Assim que você entra já ouve uma música ambiente, já fica flutuando."
0	"Aí tem duas árvores que foram preservarás na construção."
1	"Ambiente muito aconchegante."
0	"O buffet é a vontade, preço fixo."
0	"Pode se servir várias vezes."
0	"Tudo sem enlatados e temperos prontos."
0	"Bebida à vontade."
1	"Uma grande variedade de frutas."
1	"Preço justo."
0	"Ingredientes orgânicos para quem se preocupa com a saúde."
0	"Comprei para ir no rodízio de fondue com uns casais de amigo e gostei muito da visita."
0	"O restaurante Remanso do peixe oferece o que de melhor existe em pescado na amazônia."
0	"Morador ou visitante não pode deixar de conhecer essa maravilha da culinária paraense."
0	"Recomendo."
1	"Apesar de achar o couvert artístico um pouco caro demais e a espera para conseguir uma mesa ser um pouco cansativa, acho que o restaurante vale a pena."
1	"Não é barato, mas o serviço foi bom, a pizza veio super rápido, o menu é ótimo (várias opções de pizza e você pode optar por dividir a sua pizza em em até 3 sabores diferentes) e o ambiente é agradável."
1	"Bem localizado."
0	"Voltaria."
1	"Melhor pizza da cidade em termos de massa fina, preço um pouco salgado."
1	"Tem o melhor petit gateu da ilha."
1	"Muito bom!!"
1	"Atendimento excelente do Michael!!"
1	"Comida deliciosa e ambiente agradável!"
1	"Caipirinha deliciosa!"
1	"Pratos caros e visualmente feios."
0	"Pouca quantidade."
0	"Pedi o salmão e não tinha mais disponível na cozinha."
0	"Experiência pra não voltar mais."
1	"Comprar chocolates na cacau show é uma boa saída para quem quer fugir dos chocolates mais tradicionais e quer experimentar novos e deliciosos sabores de chocolates."
1	"Excelente atendimento."
0	"Ambiente tipicamente carioca."
1	"Comida muito bom, muito bem temperada."
1	"Preço justo."
1	"Excelente custo-benefício."
1	"Ambiente agradável, garçons educados, comida gostosa, mas... as porções dos pratos kids são muito, muito, muito pequenas."
0	"Vergonhoso cobrarem tão caro por tão pouca massa."
0	"Até meu filho de 3 anos saiu de lá com fome."
0	"Não volto mais, pois teria que pedir um prato de adulto para um menininho se alimentar adequadamente."
1	"Atendimento de primeira, ambiente super legal."
0	"Ideal para um jantar entre amigos."
1	"As opções com camarão são as melhores mas os de peixes também são uma delícia."
1	"O preço é razoável até."
1	"Chope bemtirado, comida questionável, o joelho de porco é bem feito, porém a salada de batatas veio azeda e o chucrute bem antigo."
1	"As salsichas de qualidade duvidosa."
1	"O preço para o Rio é compatível ."
1	"Ambiente acolhedor, bebidas self-service, rock dos melhores (clássicos e atuais) e atendimento maravilhoso."
1	"Esse restaurante é muito agradável, um excelente atendimento uma vista pro mar de abrilhantar os olhos e com uma refeição divina, nesse final de ano ele estarão fazendo um pacote muito bom pra quem gosta de celebrar a virada do ano de frente pro mar."
1	"Local agradável, amplo, cardápio variado e bom atendimento."
1	"Além de variados e deliciosos acaís, servem outras opções de lanches que equivalem à refeição e sucos muito gostosos."
1	"sushi di boa qualidade e otimo tempura de legumes e camarao, tambem tem sobremesa incluida no valor do rodizio"
1	"A pizzaria é um charme."
1	"O ambiente é ótimo para um encontro romântico ou para comer uma pizza com os amigos."
1	"O atendimento é bom, rápido e eficiente."
1	"Os preços não são baratos entretanto não chegam a ser astronômicos."
0	"Recomendo para uma refeição diferente e deliciosa."
0	"Dei mais uma chance para a Real."
0	"Genteeee!!!!"
0	"Vcs precisam ir a este lugar e comer a comida do Bryan, ver os arcos, beber Pisco, conversar com o chef sobre a comida peruana e terminar com o Suspiro a la limeña que é uma das 3 sobremesas mais incriveis que já comi!"
1	"Ambiente bem cuidado, atendimento excelente."
0	"Pequena variedade, mas atende inclusive  vegetarianos."
0	"Costuma ter bolinhas fritos a assados fora do habitual."
1	"Tudo bem caprichado."
1	"Preço caprichado também."
0	"Não é para o dia-a-dia."
0	"O kg custa R$ 65,00."
0	"Destaque para o creme brulee, boa pedida para sobremesa."
0	"Va com tempo."
0	"Mesas para muitas pessoas demoram um pouco para liberar"
1	"No Executivo Grill você tem um ambiente descontraído, com diversas opções de saladas, pratos quentes, carnes, feijoada, a comida é gostosa, o atendimento é razoável e o preço é muito bom."
1	"Ambiente super agradável e de ótimo atendimento."
0	"Fomos muito bem atendidos!"
1	"A carne é ótima e o lugar super agradável!"
0	"Recomendo!"
0	"Um dos melhores restaurantes que vi na cidade."
0	"Tradicional."
1	"As melhores burekas (folhados redondos recheados - em formato de donut) ."
0	"Para saborear no local e tambem levar pra casa (congeladas)."
0	"Ter no congelador sempre que pintar "aquela vontade" (e vai pintar sempre, rsrrss)."
1	"A de ricota e de espinafre são imbativeis."
1	"Lanche gostoso, as batatas chips que vêm de acompanhamento e a maionese temperada da casa são boas, atendimento e ambiente agradáveis, preço em conta e ainda tem delivery."
1	"As esfirras são a melhor propaganda do restaurante de comida tipica árabe, sabores variados (adoro a folheada de carne e a de azeitona), mas os outros pratos também são muito bons."
1	"Não deixem de experimentar os charutinhos de folha de uva, o tempero é leve e saboroso."
1	"O espaço é simples e o atendimento costuma ser rápido nas mesas."
0	"No balcão é um pouco mais confuso pela quantidade de pessoas que ficam ao redor esperando atendimento e comendo ali mesmo, mas é tb o lugar mais divertido já que podemos presenciar a interação entre os donos árabes ou descendentes e os funcionários brasileiros..."
0	"Cumpre o esperado."
1	"Boa variedade de carnes, e variado buffet de saladas e outros acompanhamentos."
1	"Bom atendimento."
1	"Preço razoável."
0	"Recomendo."
1	"Que desfrutar de um lanche leve e rápido vale a pena no flash lanches."
1	"Tudo muito cuidado e ambiência limpa."
1	"Restaurante muito bem localizado perto de varios hotéis , almoçamos depois das 16:00 sendo que a maioria dos restaurantes daquela região já estavam fechados, comida deliciosa feita com produtos saudáveis !"
0	"Adoramos !"
0	"Pedimos um rodízio que só começou a ser servido após chamar o garçom e reclamar"
1	"Um lindo lugar, cardápio muito direcionado à camarão, preços elevados, mais condizentes com bom ambiente que as porções poucp generosas."
1	"A casa costuma lotar no fim da tarde e serve um variado menu, de cerca de 30 itens, como pratos individuais e coletivos, para crianças, panelinhas, espetinhos e espetões, saladas, sanduíches, caldos e sobremesas."
0	"A porção de costela assada na brasa por seis horas, vai à mesa com mandioca, vinagrete e farofa."
0	"Ou seja, simplesmente DIVINOOO!"
1	"O restaurante oferece um cardápio com massas, strogonoff, saladas, picadinho servidos em porções generosas, contam com um delicioso café e o ambiente é agradável, aconchegante e leve."
1	"Infelizmente no dia que fui pedi duas opções de sobremesa que não tinham disponíveis, mas de modo geral a expriência foi muito agradável."
0	"Quero agradecer por escolherem as terras Brasileiras para lançar o Jamie's Italian."
0	"As refeições por aqui estão cada vez mais padronizadas e não saudáveis, talvez pela cultura ou talvez pela pressão dos restaurantes do tipo fast-food."
0	"Estamos ansiosos para vivenciar um marco nos costumes da nossa sociedade, o despertar do interesse nos alimentos, sua procedência e seu poder nutricional."
0	"PARABÉNS!"
1	"Batatas fritas muito especiais, burger extremamente saboroso (quem não come mal passado deve evitar)."
1	"Guarde espaço para a sobremesa, vale a pena!"
0	"Depois de uma indicacao na recepcao do hotel, tive a pessia ideia de ir conhecer o restaurante, que com luzes piscando na porta (tipo um pequeno enfeite para arvore de natal) ja me indicavam o que me esperava...pedi um salmao grelhado, que diziam servir 2 pessoas... O peixe chegou, com sal alem da conta, com batatas semi cozidas como acompanhamento, um molho que parecia o oleo do fusca do meu avo e regado tambem a salmoura...afff nem vou comentar da salada de entrada, qualquer bar de periferia poderia superar... Sobre o garcom, tive que repetir minhas solicitacoes por mais de 3 x cada... Descepcionante... Em resumo, nao volto nunca mais e se mesmo assim vc se encorajar, lembre-se eu nao recomendo..."
1	"Um boa opção para quem trabalha na região."
1	"O Restaurante Verde e Grill oferece carnes de qualidade acompanhadas de um buffet bastante interessante, com pasteis, quiche, várias opções de saladas e legumes."
1	"Um lugar super agradável!"
1	"Um cardápio variado com opções  de massas, pizzas, pratos ornamentados, tudo muito sofisticado e caprichado."
1	"As pizzas são super saborosas."
0	"Espaço infantil para crianças brincarem."
0	"Muito bom para ir com família ou jantar para casais."
1	"Comida Excelente, sem palavras!"
1	"Cardápio variado e muito bom gosto, o buffet e sem igual, vale a pena expetiencia!!"
1	"Comida boa de qualidade, variedade comida típica mineira!"
1	"Bom ambiente!"
1	"Bom atendimento!"
0	"Tem muita variedade de sobremesa!"
0	"Vale a pena!"
1	"Bastante variedade ( carnes, sushi, japonesa, chinesa) atendimento regular, uma área ampla, mas o preço um pouco acima da qualidade oferecida!"
1	"Restaurante bonito, que pela estilo parace ser caro, porem a moqueca estava mais barata do que na barraca na praia ."
0	"Os pratos nao veem em graaaande quantidade , mas a porçao para  duas pessoas cumpre com o objetivo, desde que uma das pessoas nao coma muito, o que e o caso da minha esposa, melhor para mim."
1	"Após dois anos,  retornamos , a casquinha de Siri continua maravilhosa , chopp muito bem tirado,  cremoso."
0	"O filet aperitivo com molho de mostarda,  deixou saudades aos de outras oportunidades."
1	"Ambiente super aconchegante."
1	"Excelente serviço de garçom."
1	"A casa é bem decorada, estava um pouco quente, ar desligado."
1	"Os PFs são bons e a bons preços."
0	"Mas o quilo não vale muito à pena: de segunda a sexta, muda pouca coisa."
0	"Mas vale muito à pena para tomar cerveja de noite."
1	"Boa opção de almoço na região , pois contam com sistema de buffet livre no horário de almoço, disponível ótimos pratos e saboroso, o único ponto negativo é que o salao de mesas não é tao grande o que gera um certa espera na chegada."
1	"lamens muito bons, bem tradicionais, apesar da grande espera por estar sempre lotado, vale a pena ter paciencia"
1	"Gosto bastante do açaí do Açaí Aju."
0	"Recomendo o que vem acompanhado de chantilly."
0	"Acho que o nome é Diplomata."
0	"O ponto negativo da casa está nos chamados hambúrgueres gourmet."
1	"Os molhos não são tão caprichados assim é o preço é bem caro."
0	"Não voltaria lá para comer os hambúrgueres."
1	"Achei o restaurante bem bacana com decoração sofisticada e cardapio muito bom."
1	"Ambiente tranquilo com musica boa."
1	"Já fui nas duas lojas deles e o burguer é muito bom e podes escolher o ponto do hamburguer o ambiente também é bem legal."
0	"Tomei cerveja artesanal"
1	"Sabia que o Nino era um bom restaurante, mas me surpreendi positivamente."
1	"Ambiente agradável, atendimento muito bom, com garçons simpáticos, que conhecem bastante dos pratos."
0	"Pedimos a entrada de Burrata com embutidos."
0	"Acompanha um pão delicioso!"
0	"Para prato principal, pedi o Tagliolini com funghi porcini puxado na manteiga de trufas e gema mole: Sensacional!!!"
0	"Nao quis nem colocar queijo parmesão para nao tirar o sabor do prato."
0	"Experimentei os outros que foram pedidos na mesa, mas preferi o meu!"
1	"Carta de vinhos boa, com opcoes justas."
0	"Em relacao ao preço do jantar, nao achei nenhum absurdo para Um jantar com entrada, prato principal, sobremesa e vinho."
0	"Recomendo o restaurante e certamente voltarei."
1	"Hoje comi um com o hot dog nesse restaurante e foi muito decepcionante."
0	"O lugar estava vazio, o atendente morrendo atrás do computador."
0	"Parece o pior dia da vida dele, nem bom dia deu."
0	"O lanche foi preparado por ele sem qualquer atenção."
0	"O molho para o nacho veio num copo ho plástico sem qq colher, os nachos eram maiores que o copo não tinha como pegar."
0	"O refrigerante veio em lata, sem copo sem canudo."
0	"Atendente estava nitidamente resfriado, fungando na comida."
1	"O preço cobrado  30 reais (Jan 20) é altíssimo se considerado a qualidade entregue."
0	"Lugar a se evitar."
0	"Quem sabe se os proprietários um dia virem esse análise façam algo, o lugar parece bacana."
0	"Ah outra mega decepção."
0	"O chatchup nitidamente foi colocado nos vidros da heinz."
0	"É nitidamente colocado outra marca, pois o sabor é daqueles bem vagabundos."
1	"Conheci o Folques Doces em março um ótimo ambiente com doces magníficos um lugar para saborear ótimos doces"
1	"O  Restaurante San Marino tem um ambiente agradável, o atendimento é muito bom, funcionários educados, a comida é muito saborosa."
1	"Comida espetacular, atendimento impecável, Petit Gateau perfeito, ambiente super agradável, sem duvida um dos melhores restaurantes que já fui."
1	"Um restaurante novo, bem montado, gostoso de se frequentar, parecido com outro de nome "Coco Bambu", com preços mais atraentes."
1	"Os pratos são fartos e bem feitos."
1	"O garçon que nos atendeu foi bastante solícito e explicou cada prato perguntado, com detalhes."
1	"Um dos problemas é que os pratos fartos, são exagerados para duas pessoas."
0	"Pedimos uma pescada acompanhada de arroz e legumes na manteiga, que servia tranquilamente 04 pessoas."
0	"Sugestão: que a casa sirva pratos em menor porção para que as pessoas possam solicitar mais variedades."
1	"No geral, um bom restaurante!"
1	"tudo muito saboroso e bem elaborado, os sanduíches poderiam ter um pão maior, pois o pão sempre acaba antes do hambúrguer, mas sempre delicioso."
1	"O delivery é bem rápido."
0	"Além das pizzas, vale a pena experimentar os breads e o dips de canela."
0	"Sempre perguntar se tem promoção, pois há a promoção de pizza em dobro."
1	"Comida incrível!!"
0	"Conheço bem a comida indiana e não poderia recomendar restaurante mais típico."
1	"Garçons Super atenciosos."
0	"Dono super simpático também"
1	"Atendimento simplesmente perfeito, todos muito atenciosos e simpáticos."
0	"Um senhor chamado Valdir tocando uma boa música no piano e depois na sanfona, indo de mesa em mesa de forma educada."
0	"Os pratos também sem comentários."
0	"Só não dou a nota 5 pela decoração, que tem um aspecto meio "velho"."
0	"Acho que eles tinham a ideia de fazer uma coisa  clássica, mas exageraram um pouco."
0	"Um dos melhores restaurantes de São Luís, especialista em carne de carneiro."
0	"Também umas das melhores pizzas da Ilha."
0	"Muito bom para ir com a família."
1	"Estrutura moderna e nova."
1	"Bom atendimento."
1	"Melhor hamburgueria de curitiba,tanto é que tem filial ate na terra do sanduiche,estados unidos.é caro!"
1	"Pizzaria muito boa, uma das melhores q já experimentei, atendimento impecável, comida de excelente qualidade, assim como bebidas... Preço justo"
1	"Ambiente pequeno, mas bem decorado e familiar."
1	"A pizza é bem gostosa!"
0	"Uma pizza família, com 8 pedaços, custa em torno de 45 reais."
1	"vale a pena ir recomendo a todos que vierem em são Paulo, limpo e legal para encontro com os amigos para bater um papo, bem localizado excelente"
0	"Tem 13 anos que não venho aqui em SP, fiz questão de conferir meu local de comida árabe preferido, servem uma iguaria chamada UZI ( massa folhada com recheio de arroz e cordeiro)"
1	"Simplesmente maravilhosa!"
1	"Bem servida, suculenta, tempero delicioso, sem defeitos."
0	"E o melhor, o preço."
0	"Parece inacreditável mas comemos uma peixada ao leite de coco e camarões acompanhada de pirao e arroz que servia bem três pessoas, em janeiro."
0	"Pagamos 40,00 reais."
1	"Sensacional."
1	"Bons ingredientes, variedade de combinações, é bem feita e tem bom preço."
0	"Sempre me salvam quando não quero cozinhar!!!"
1	"Uma delicia!!!."
0	"Única sugestão seria deixar menor quantidade de sushis na bandeja em que os garçons servem, pois quando chegam à mesa já estão com a alga murcha por estarem a algum tempo rodando pelo restaurante."
1	"Boa estrutura , peço justo, boa comida!"
1	"Praia linda, limpa, muito agradável!"
0	"Vale fazer uma caminha pela orla, tem falecias que garantem lindas fotos!"
0	"Pra quem gosta de comida gostosa sem pagar muito caro."
1	"Os pretzels são sempre frescos e bem preparados e o atendimento é muito bom."
0	"Excelente."
1	"Considero a melhor pizza de São Paulo, e dizem que a pizza em São Paulo é a melhor do mundo (concordo)."
0	"Essa é indiscutível."
1	"O espaço é agradavel, a comida é boa, mas o atendimento deixa a desejar."
1	"Os preços não são tão baixos."
1	"Cardápio criativo com  diferentes leituras da cozinha brasileira num lugar muito especial - bairro Santa Teresa , a Montmartre brasileira."
1	"ótima opção para curtir uma cerveja com os amigos ou família, ostras sempre frescas e varias outras opções de frutos do mar."
1	"Minha moqueca de arraia preferida."
1	"Uma pizza deliciosa... saladas deliciosas... atendimento excelente... e o valor muito honesto... sempre que vou a Curitiba, minha pizzaria preferida."
0	"Não deixe de visitar."
0	"Bem simples mas muito bem preparada."
0	"Não é tão apimentada quanto seria no Nepal mas é preparada por imigrantes."
1	"O Lugar fica numa galeria com amplo espaço na praça de alimentação exceto no horario de pico."
0	"Sugiro o prato do dia sempre."
1	"simplesmente AMO as comidas deste lugar, atenção especial para o “batuta de manzo”, que é uma espécie de tartar muito não muito “temperado” como de costume de outros restaurantes, que pra mim, é um ponto positivo."
0	"Belém carece de bons restaurantes, a preços honestos e onde seja possível conversar."
0	"O Midori é um deles."
1	"A comida é sempre boa e o serviço, excelente"
0	"Restaurante em que você monta o seu próprio prato de salada, escolhendo os ingredientes!"
1	"Os sucos são bons, mas um pouco doces demais."
1	"Preço bom!"
1	"Boa comida mas o serviço e lento e se pagar em dinheiro eles arredondam para mais devolvendo troco menor."
0	"Lamentável esta atitude"
0	"Loja localizada no Shopping Tucuruvi, compartilhando as mesas e cadeiras da praça de alimentação."
1	"Massa razoável, caseira."
1	"O atendimento é problemático, não porque o atendente seja ruim, mas deixam uma única pessoa para preparar a massa, entregar ao cliente e cobrar no caixa."
0	"Assim não dá mesmo."
1	"Há um fila e consequente demora no atendimento."
0	"Depois reclamam quando a freguesia vai embora... Não recomendo."
0	"Indico o Balada a qualquer hora do dia e da noite!"
0	"Tudo sempre muito bem feito e com muita qualidade."
1	"Ambiente agradável tanto na área interna, que é climatizada, quanto na ampla varanda."
0	"Considero outro ponto favorável é o fato deles estarem sempre introduzindo algo novo no cardápio!"
1	"Porções generosas, mas tem que saber pedir pq os preços são caros em alguns itens na proporção custo x benefício, por isso, veja o cardápio com calma e tire suas dúvidas sempre com os milhares de atendentes sempre a disposição no salão!"
1	"Tive uma experiência terrível com essa pizzaria."
0	"Solicitei uma pizza, para pagamento via cartão - o sinal da máquina era quase zero, e por isso, fiquei por 20 minutos aguardando o entregador, decidir o que ia fazer."
0	"Como a pizza já estava fria, e eu cansado, sugeri fazer transferência online."
0	"Assim, o fiz."
0	"No entanto, era sexta-feira, após as 22h."
0	"O sujeito que entregou a pizza me ligou as 22:40 reclamando que o dinheiro não cairia no mesmo dia!"
0	"Claro que não!!!!!!!"
0	"Somente no próximo dia útil!!!!"
0	"Como podem ser tão despreparados e limitados?"
0	"Nota zero!"
0	"R$ 74 por uma pizza que não vale R$ 40?"
0	"Não, nunca mais!!!"
0	"Realizem treinamento com seus funcionários!!!"
1	"Melhor opção no shopping para comidas e bebidas, ambiente muito bacana, bom atendimento e boa comida."
1	"Boa variedade de bebidas."
0	"O bar oferece muitas opções de refeições e petiscos."
1	"Os preços são razoáveis e as porções são muito bem servidas."
0	"Qualquer prato para duas pessoas é suficiente para alimentar três ou até quatro pessoas."
0	"Não deixe de experimentar o torresmo, o pastel de camarão e o arroz de brócolis."
1	"O Otto é um restaurante de referência na Tijuca se eu não me engano está fazendo 20 anos porém ele tem o preço acima do normal para a região, o preço não conduz com os pratos, mas tirando isso é excelente."
0	"Super recomendo."
1	"Frequento o restaurante desde que foi inaugurado e sempre foi impecável na qualidade dos pratos, decoração e atendimento."
1	"A decoração muito especial, que dá a impressão de estar entrando numa Villa Italiana é sempre impecável com suas maravilhosas hortências sempre impecáveis!"
